Geneid,sample_1,sample_2,sample_3
ATCG00010,332,293,97
ATCG00020,102,97,53
ATCG00030,137,137,68
ATCG00040,222,234,60
ATCG00050,96,91,40
ATCG00060,31,50,20
ATCG00070,1998,1824,651
ATCG00080,1,14,0
ATCG00090,980,943,184
ATCG00100,251,224,63
ATCG00110,3113386,3356663,4453752
ATCG00120,228,209,166
ATCG00130,106,98,39
ATCG00140,1558317,1721287,2404399
ATCG00150,16,10,1
ATCG00160,371,497,224
ATCG00170,18504,16658,5857
ATCG00180,330,262,94
ATCG00190,785,759,292
ATCG00200,11,11,12
ATCG00210,36,25,11
ATCG00220,0,1,1
ATCG00230,37,15,30
ATCG00240,6,4,3
ATCG00250,196,222,336
ATCG00260,372,340,96
ATCG00270,58,58,16
ATCG00280,247,239,89
ATCG00290,2,5,2
ATCG00300,103,79,19
ATCG00310,13,16,4
ATCG00320,74,69,44
ATCG00330,43,44,29
ATCG00340,732,1027,644
ATCG00350,40,41,9
ATCG00360,3,6,3
ATCG00370,110,128,110
ATCG00380,640,593,169
ATCG00390,0,1,0
ATCG00400,0,1,0
ATCG00410,123,143,43
ATCG00420,290,275,83
ATCG00430,97,146,107
ATCG00440,5599,5826,1806
ATCG00450,4276,3855,1180
ATCG00460,88,126,61
ATCG00470,73,68,25
ATCG00480,101,98,198
ATCG00490,176,163,76
ATCG00500,76,97,44
ATCG00510,4,3,1
ATCG00520,152,181,56
ATCG00530,208,167,41
ATCG00540,23415,18265,5373
ATCG00550,423,349,114
ATCG00560,3,3,0
ATCG00570,55,52,20
ATCG00580,142,134,67
ATCG00590,35,23,16
ATCG00600,719,650,179
ATCG00610,0,1,2
ATCG00620,124,125,61
ATCG00630,234,193,213
ATCG00640,2,2,3
ATCG00650,0,2,3
ATCG00660,4207,3804,1144
ATCG00065,252,288,99
ATCG00670,1,2,2
ATCG00680,388,525,240
ATCG00690,20,15,8
ATCG00700,10,19,16
ATCG00710,507,448,139
ATCG00720,21,31,7
ATCG00730,30,21,2
ATCG00740,228,232,62
ATCG00750,59,58,8
ATCG00760,170,202,133
ATCG00770,99,107,55
ATCG00780,21,6,3
ATCG00790,79,63,30
ATCG00800,66,56,23
ATCG00810,148,140,80
ATCG00820,1560181,1722496,2405817
ATCG00830,200,265,82
ATCG00840,78,67,31
ATCG00850,640,1105,622
ATCG00860,535,476,272
ATCG00870,5,4,0
ATCG00880,43,51,17
ATCG00890,37,52,8
ATCG00900,5,5,2
ATCG00905,210,206,170
ATCG00910,4920,4815,1571
ATCG00920,3,3,4
ATCG00930,11,16,2
ATCG00940,231,255,80
ATCG00950,85,92,30
ATCG00960,273,299,127
ATCG00970,0,0,0
ATCG00980,102,146,111
ATCG00990,185,210,79
ATCG01000,1,7,5
ATCG01010,34,28,9
ATCG01020,96,155,104
ATCG01030,1,2,1
ATCG01040,66,71,31
ATCG01050,117,185,166
ATCG01060,46,36,22
ATCG01070,216,178,56
ATCG01080,5,7,5
ATCG01090,1836,1825,628
ATCG01100,291,297,146
ATCG01110,104,91,35
ATCG01120,114,175,151
ATCG01130,141,154,71
ATCG01140,5,6,4
ATCG01150,66,56,54
ATCG01160,47,28,11
ATCG01170,578,630,158
ATCG01180,17,6,2
ATCG01190,32,60,62
ATCG01200,13,15,5
ATCG01210,5,7,1
ATCG01220,224,234,83
ATCG01230,95,92,34
ATCG01240,38,57,62
ATCG01250,3187437,3444463,4566226
ATCG01260,7,1,1
ATCG01270,163,135,30
ATCG01280,5,9,1
ATCG01290,50,88,30
ATCG01300,122,108,46
ATCG01310,1,3,0
