# Program:featureCounts v2.0.1; Command:"featureCounts" "-O" "-t" "exon" "-g" "gene_id" "-a" "genes.gtf" "-o" "some/sample_3_gene_counts.txt" "some/sample_3.sort.bam" 
Geneid	Chr	Start	End	Strand	Length	some/sample_3.sort.bam
ATCG00010	ChrC	4	76	-	73	97
ATCG00020	ChrC	383	1444	-	1062	53
ATCG00030	ChrC;ChrC	1717;4312	1751;4347	-;-	71	68
ATCG00040	ChrC	2056	3636	-	1581	60
ATCG00050	ChrC;ChrC	5084;6149	5283;6188	-;-	240	40
ATCG00060	ChrC	6616	6687	-	72	20
ATCG00070	ChrC	7017	7202	+	186	651
ATCG00080	ChrC	7583	7693	+	111	0
ATCG00090	ChrC	7785	7872	+	88	184
ATCG00100	ChrC;ChrC	8646;9383	8669;9431	+;+	73	63
ATCG00110	ChrC	9590	9661	+	72	4453752
ATCG00120	ChrC	9938	11461	-	1524	166
ATCG00130	ChrC;ChrC	11529;12654	11938;12798	-;-	555	39
ATCG00140	ChrC	13262	13507	-	246	2404399
ATCG00150	ChrC	14021	14770	-	750	1
ATCG00160	ChrC	15013	15723	-	711	224
ATCG00170	ChrC	15938	20068	-	4131	5857
ATCG00180	ChrC;ChrC	20251;22653	21861;23084	-;-	2043	94
ATCG00190	ChrC	23111	26329	-	3219	292
ATCG00200	ChrC	27373	27443	+	71	12
ATCG00210	ChrC	28089	28178	+	90	11
ATCG00220	ChrC	28707	28811	-	105	1
ATCG00230	ChrC	29801	29874	-	74	30
ATCG00240	ChrC	30323	30406	-	84	3
ATCG00250	ChrC	30466	30538	-	73	336
ATCG00260	ChrC	31369	31440	+	72	96
ATCG00270	ChrC	32711	33772	+	1062	16
ATCG00280	ChrC	33720	35141	+	1422	89
ATCG00290	ChrC	35312	35403	+	92	2
ATCG00300	ChrC	35751	35939	+	189	19
ATCG00310	ChrC	36490	36560	+	71	4
ATCG00320	ChrC	36704	36777	-	74	44
ATCG00330	ChrC	36938	37240	-	303	29
ATCG00340	ChrC	37375	39579	-	2205	644
ATCG00350	ChrC	39605	41857	-	2253	9
ATCG00360	ChrC;ChrC	42584;43524	42736;43751	-;-	381	3
ATCG00370	ChrC	44827	44913	+	87	110
ATCG00380	ChrC	45223	45828	-	606	169
ATCG00390	ChrC	46213	46285	-	73	0
ATCG00400	ChrC;ChrC	46894;47441	46929;47490	+;+	86	0
ATCG00410	ChrC	48175	48247	+	73	43
ATCG00420	ChrC	48677	49153	-	477	83
ATCG00430	ChrC	49257	49934	-	678	107
ATCG00440	ChrC	50001	50363	-	363	1806
ATCG00450	ChrC;ChrC	51199;51833	51234;51871	-;-	75	1180
ATCG00460	ChrC	52056	52128	+	73	61
ATCG00470	ChrC	52265	52663	-	399	25
ATCG00480	ChrC	52660	54156	-	1497	198
ATCG00490	ChrC	54958	56397	+	1440	76
ATCG00500	ChrC	57075	58541	+	1467	44
ATCG00510	ChrC	59247	59360	+	114	1
ATCG00520	ChrC	59772	60326	+	555	56
ATCG00530	ChrC	60741	61430	+	690	41
ATCG00540	ChrC	61657	62619	+	963	5373
ATCG00550	ChrC	63538	63660	-	123	114
ATCG00560	ChrC	63804	63920	-	117	0
ATCG00570	ChrC	63942	64061	-	120	20
ATCG00580	ChrC	64071	64322	-	252	67
ATCG00590	ChrC	65712	65807	+	96	16
ATCG00600	ChrC	65998	66111	+	114	179
ATCG00610	ChrC	66229	66302	-	74	2
ATCG00620	ChrC	66490	66563	-	74	61
ATCG00630	ChrC	66929	67063	+	135	213
ATCG00640	ChrC	67488	67688	+	201	3
ATCG00650	ChrC	67917	68222	+	306	3
ATCG00660	ChrC	68512	68865	-	354	1144
ATCG00065	ChrC	69611	69724	-	114	99
ATCG00670	ChrC;ChrC;ChrC	69910;70653;71812	70137;70944;71882	-;-;-	591	2
ATCG00680	ChrC	72371	73897	+	1527	240
ATCG00690	ChrC	74082	74183	+	102	8
ATCG00700	ChrC	74249	74380	-	132	16
ATCG00710	ChrC	74485	74706	+	222	139
ATCG00720	ChrC;ChrC	74841;75651	74846;76292	+;+	648	7
ATCG00730	ChrC;ChrC	76481;77198	76488;77672	+;+	483	2
ATCG00740	ChrC	77901	78890	-	990	62
ATCG00750	ChrC	78960	79376	-	417	8
ATCG00760	ChrC	79489	79602	-	114	133
ATCG00770	ChrC	80068	80472	-	405	55
ATCG00780	ChrC	80696	81064	-	369	3
ATCG00790	ChrC;ChrC	81189;82644	81587;82652	-;-	408	30
ATCG00800	ChrC	82826	83482	-	657	23
ATCG00810	ChrC	83467	83949	-	483	80
ATCG00820	ChrC	84005	84283	-	279	2405817
ATCG00830	ChrC;ChrC	84337;85454	84771;85843	-;-	825	82
ATCG00840	ChrC	85862	86143	-	282	31
ATCG00850	ChrC	86312	86385	-	74	622
ATCG00860	ChrC	86474	93358	+	6885	272
ATCG00870	ChrC	93495	93728	+	234	0
ATCG00880	ChrC	94276	94356	-	81	17
ATCG00890	ChrC;ChrC	94941;96388	95702;96795	-;-	1170	8
ATCG00900	ChrC	97478	97945	-	468	2
ATCG00905	ChrC;ChrC	97999;98562	98024;98793	-;-	258	170
ATCG00910	ChrC	100709	100780	+	72	1571
ATCG00920	ChrC	101012	102502	+	1491	4
ATCG00930	ChrC;ChrC	102801;103567	102838;103601	+;+	73	2
ATCG00940	ChrC;ChrC	103665;104504	103703;104538	+;+	74	80
ATCG00950	ChrC	104691	107500	+	2810	30
ATCG00960	ChrC	107599	107701	+	103	127
ATCG00970	ChrC	107949	108069	+	121	0
ATCG00980	ChrC	108302	108375	+	74	111
ATCG00990	ChrC	109013	109084	-	72	79
ATCG01000	ChrC	109405	110436	+	1032	5
ATCG01010	ChrC	110398	112638	-	2241	9
ATCG01020	ChrC	113449	113607	+	159	104
ATCG01030	ChrC	114270	114349	+	80	1
ATCG01040	ChrC	114461	115447	+	987	31
ATCG01050	ChrC	115665	117185	-	1521	166
ATCG01060	ChrC	117318	117563	-	246	22
ATCG01070	ChrC	117804	118109	-	306	56
ATCG01080	ChrC	118377	118907	-	531	5
ATCG01090	ChrC	119244	119762	-	519	628
ATCG01100	ChrC;ChrC	119847;121457	120376;122009	-;-	1083	146
ATCG01110	ChrC	122011	123192	-	1182	35
ATCG01120	ChrC	123296	123562	-	267	151
ATCG01130	ChrC	123884	129244	-	5361	71
ATCG01140	ChrC	129565	129636	+	72	4
ATCG01150	ChrC	130274	130347	-	74	54
ATCG01160	ChrC	130580	130700	-	121	11
ATCG01170	ChrC	130948	131050	-	103	158
ATCG01180	ChrC	131149	133958	-	2810	2
ATCG01190	ChrC;ChrC	134111;134947	134146;134984	-;-	74	62
ATCG01200	ChrC;ChrC	135048;135812	135083;135848	-;-	73	5
ATCG01210	ChrC	136147	137637	-	1491	1
ATCG01220	ChrC	137869	137940	-	72	83
ATCG01230	ChrC;ChrC	139856;140625	140087;140650	+;+	258	34
ATCG01240	ChrC	140704	141171	+	468	62
ATCG01250	ChrC;ChrC	141854;142947	142261;143708	+;+	1170	4566226
ATCG01260	ChrC	144293	144373	+	81	1
ATCG01270	ChrC	144921	145154	-	234	30
ATCG01280	ChrC	145291	152175	-	6885	1
ATCG01290	ChrC	152264	152337	+	74	30
ATCG01300	ChrC	152506	152787	+	282	46
ATCG01310	ChrC;ChrC	152806;153878	153195;154312	+;+	825	0
