# Program:featureCounts v2.0.1; Command:"featureCounts" "-O" "-t" "exon" "-g" "gene_id" "-a" "genes.gtf" "-o" "some/sample_2_gene_counts.txt" "some/sample_2.sort.bam" 
Geneid	Chr	Start	End	Strand	Length	some/sample_2.sort.bam
ATCG00010	ChrC	4	76	-	73	293
ATCG00020	ChrC	383	1444	-	1062	97
ATCG00030	ChrC;ChrC	1717;4312	1751;4347	-;-	71	137
ATCG00040	ChrC	2056	3636	-	1581	234
ATCG00050	ChrC;ChrC	5084;6149	5283;6188	-;-	240	91
ATCG00060	ChrC	6616	6687	-	72	50
ATCG00070	ChrC	7017	7202	+	186	1824
ATCG00080	ChrC	7583	7693	+	111	14
ATCG00090	ChrC	7785	7872	+	88	943
ATCG00100	ChrC;ChrC	8646;9383	8669;9431	+;+	73	224
ATCG00110	ChrC	9590	9661	+	72	3356663
ATCG00120	ChrC	9938	11461	-	1524	209
ATCG00130	ChrC;ChrC	11529;12654	11938;12798	-;-	555	98
ATCG00140	ChrC	13262	13507	-	246	1721287
ATCG00150	ChrC	14021	14770	-	750	10
ATCG00160	ChrC	15013	15723	-	711	497
ATCG00170	ChrC	15938	20068	-	4131	16658
ATCG00180	ChrC;ChrC	20251;22653	21861;23084	-;-	2043	262
ATCG00190	ChrC	23111	26329	-	3219	759
ATCG00200	ChrC	27373	27443	+	71	11
ATCG00210	ChrC	28089	28178	+	90	25
ATCG00220	ChrC	28707	28811	-	105	1
ATCG00230	ChrC	29801	29874	-	74	15
ATCG00240	ChrC	30323	30406	-	84	4
ATCG00250	ChrC	30466	30538	-	73	222
ATCG00260	ChrC	31369	31440	+	72	340
ATCG00270	ChrC	32711	33772	+	1062	58
ATCG00280	ChrC	33720	35141	+	1422	239
ATCG00290	ChrC	35312	35403	+	92	5
ATCG00300	ChrC	35751	35939	+	189	79
ATCG00310	ChrC	36490	36560	+	71	16
ATCG00320	ChrC	36704	36777	-	74	69
ATCG00330	ChrC	36938	37240	-	303	44
ATCG00340	ChrC	37375	39579	-	2205	1027
ATCG00350	ChrC	39605	41857	-	2253	41
ATCG00360	ChrC;ChrC	42584;43524	42736;43751	-;-	381	6
ATCG00370	ChrC	44827	44913	+	87	128
ATCG00380	ChrC	45223	45828	-	606	593
ATCG00390	ChrC	46213	46285	-	73	1
ATCG00400	ChrC;ChrC	46894;47441	46929;47490	+;+	86	1
ATCG00410	ChrC	48175	48247	+	73	143
ATCG00420	ChrC	48677	49153	-	477	275
ATCG00430	ChrC	49257	49934	-	678	146
ATCG00440	ChrC	50001	50363	-	363	5826
ATCG00450	ChrC;ChrC	51199;51833	51234;51871	-;-	75	3855
ATCG00460	ChrC	52056	52128	+	73	126
ATCG00470	ChrC	52265	52663	-	399	68
ATCG00480	ChrC	52660	54156	-	1497	98
ATCG00490	ChrC	54958	56397	+	1440	163
ATCG00500	ChrC	57075	58541	+	1467	97
ATCG00510	ChrC	59247	59360	+	114	3
ATCG00520	ChrC	59772	60326	+	555	181
ATCG00530	ChrC	60741	61430	+	690	167
ATCG00540	ChrC	61657	62619	+	963	18265
ATCG00550	ChrC	63538	63660	-	123	349
ATCG00560	ChrC	63804	63920	-	117	3
ATCG00570	ChrC	63942	64061	-	120	52
ATCG00580	ChrC	64071	64322	-	252	134
ATCG00590	ChrC	65712	65807	+	96	23
ATCG00600	ChrC	65998	66111	+	114	650
ATCG00610	ChrC	66229	66302	-	74	1
ATCG00620	ChrC	66490	66563	-	74	125
ATCG00630	ChrC	66929	67063	+	135	193
ATCG00640	ChrC	67488	67688	+	201	2
ATCG00650	ChrC	67917	68222	+	306	2
ATCG00660	ChrC	68512	68865	-	354	3804
ATCG00065	ChrC	69611	69724	-	114	288
ATCG00670	ChrC;ChrC;ChrC	69910;70653;71812	70137;70944;71882	-;-;-	591	2
ATCG00680	ChrC	72371	73897	+	1527	525
ATCG00690	ChrC	74082	74183	+	102	15
ATCG00700	ChrC	74249	74380	-	132	19
ATCG00710	ChrC	74485	74706	+	222	448
ATCG00720	ChrC;ChrC	74841;75651	74846;76292	+;+	648	31
ATCG00730	ChrC;ChrC	76481;77198	76488;77672	+;+	483	21
ATCG00740	ChrC	77901	78890	-	990	232
ATCG00750	ChrC	78960	79376	-	417	58
ATCG00760	ChrC	79489	79602	-	114	202
ATCG00770	ChrC	80068	80472	-	405	107
ATCG00780	ChrC	80696	81064	-	369	6
ATCG00790	ChrC;ChrC	81189;82644	81587;82652	-;-	408	63
ATCG00800	ChrC	82826	83482	-	657	56
ATCG00810	ChrC	83467	83949	-	483	140
ATCG00820	ChrC	84005	84283	-	279	1722496
ATCG00830	ChrC;ChrC	84337;85454	84771;85843	-;-	825	265
ATCG00840	ChrC	85862	86143	-	282	67
ATCG00850	ChrC	86312	86385	-	74	1105
ATCG00860	ChrC	86474	93358	+	6885	476
ATCG00870	ChrC	93495	93728	+	234	4
ATCG00880	ChrC	94276	94356	-	81	51
ATCG00890	ChrC;ChrC	94941;96388	95702;96795	-;-	1170	52
ATCG00900	ChrC	97478	97945	-	468	5
ATCG00905	ChrC;ChrC	97999;98562	98024;98793	-;-	258	206
ATCG00910	ChrC	100709	100780	+	72	4815
ATCG00920	ChrC	101012	102502	+	1491	3
ATCG00930	ChrC;ChrC	102801;103567	102838;103601	+;+	73	16
ATCG00940	ChrC;ChrC	103665;104504	103703;104538	+;+	74	255
ATCG00950	ChrC	104691	107500	+	2810	92
ATCG00960	ChrC	107599	107701	+	103	299
ATCG00970	ChrC	107949	108069	+	121	0
ATCG00980	ChrC	108302	108375	+	74	146
ATCG00990	ChrC	109013	109084	-	72	210
ATCG01000	ChrC	109405	110436	+	1032	7
ATCG01010	ChrC	110398	112638	-	2241	28
ATCG01020	ChrC	113449	113607	+	159	155
ATCG01030	ChrC	114270	114349	+	80	2
ATCG01040	ChrC	114461	115447	+	987	71
ATCG01050	ChrC	115665	117185	-	1521	185
ATCG01060	ChrC	117318	117563	-	246	36
ATCG01070	ChrC	117804	118109	-	306	178
ATCG01080	ChrC	118377	118907	-	531	7
ATCG01090	ChrC	119244	119762	-	519	1825
ATCG01100	ChrC;ChrC	119847;121457	120376;122009	-;-	1083	297
ATCG01110	ChrC	122011	123192	-	1182	91
ATCG01120	ChrC	123296	123562	-	267	175
ATCG01130	ChrC	123884	129244	-	5361	154
ATCG01140	ChrC	129565	129636	+	72	6
ATCG01150	ChrC	130274	130347	-	74	56
ATCG01160	ChrC	130580	130700	-	121	28
ATCG01170	ChrC	130948	131050	-	103	630
ATCG01180	ChrC	131149	133958	-	2810	6
ATCG01190	ChrC;ChrC	134111;134947	134146;134984	-;-	74	60
ATCG01200	ChrC;ChrC	135048;135812	135083;135848	-;-	73	15
ATCG01210	ChrC	136147	137637	-	1491	7
ATCG01220	ChrC	137869	137940	-	72	234
ATCG01230	ChrC;ChrC	139856;140625	140087;140650	+;+	258	92
ATCG01240	ChrC	140704	141171	+	468	57
ATCG01250	ChrC;ChrC	141854;142947	142261;143708	+;+	1170	3444463
ATCG01260	ChrC	144293	144373	+	81	1
ATCG01270	ChrC	144921	145154	-	234	135
ATCG01280	ChrC	145291	152175	-	6885	9
ATCG01290	ChrC	152264	152337	+	74	88
ATCG01300	ChrC	152506	152787	+	282	108
ATCG01310	ChrC;ChrC	152806;153878	153195;154312	+;+	825	3
